127.0.0.1 - - [09/Jan/2024:12:37:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Jan/2024:12:37:08 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [09/Jan/2024:12:37:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jan/2024:12:37:28 +0530] "GET /RedirectionProject/firstlink HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/Jan/2024:12:37:51 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [09/Jan/2024:12:37:54 +0530] "GET /RedirectionProject/searchlink?searchquery= HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:04:41 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:04:50 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:04:58 +0530] "GET /RedirectionProject/searchlink?searchquery= HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:05:16 +0530] "GET /RedirectionProject/searchlink?searchquery=iphone HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:05:25 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:06:37 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:06:41 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:06:46 +0530] "GET /RedirectionProject/searchlink?searchquery=iphone HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:07:08 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:07:53 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:08:24 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:14:52 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:14:55 +0530] "GET /RedirectionProject/firstlink HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:15:01 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:15:07 +0530] "GET /RedirectionProject/searchlink?searchquery=iphone HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:15:42 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:15:43 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:15:52 +0530] "GET /RedirectionProject/searchlink?query=iphone HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:17:00 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:17:06 +0530] "GET /RedirectionProject/searchlink?query=iphone HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:22:15 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:22:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:22:24 +0530] "GET /RedirectionProject/searchlink?searchquery=iphone HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:24:39 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:24:41 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:24:45 +0530] "GET /RedirectionProject/searchlink?searchquery=iphone HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:27:42 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:27:45 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 200 413
